,Theme,Action,Brief Description of Activity
226,Energy Saved,Use LED bulbs/ tube-lights,BPCL Retail Outlets (Northern Region) - February-2023.
272,Energy Saved,Use LED bulbs/ tube-lights,"IOCL- DIGBOI REFINERY has put up the display of LiFE standee on various themes of Save energy at different locations of refinery installations ( Refinery Main Gate, Bazar Gate,CPP Building Entrance,Technical Building,Admin Ofice ( HR Building, Entrance Gate), ETP,NTF) and township (Hospital, Guest House, Clubs). Then  IOCL- DIGBOI REFINERY has senstize the working personnel around this places regarding the concept of Mission LiFE . Total 10 Numbers of standees on five different themes on Save energy has been displayed."
271,Energy Saved,Use LED bulbs/ tube-lights,"IOCL- DIGBOI REFINERY has put up the display of LiFE standee on various themes of Save energy at different locations of refinery installations ( Refinery Main Gate, Bazar Gate,CPP Building Entrance,Technical Building,Admin Ofice ( HR Building, Entrance Gate), ETP,NTF) and township (Hospital, Guest House, Clubs). Then  IOCL- DIGBOI REFINERY has senstize the working personnel around this places regarding the concept of Mission LiFE . Total 10 Numbers of standees on five different themes on Save energy has been displayed."
269,Energy Saved,Use LED bulbs/ tube-lights,"BPCL developed creatives on seven themes of Mission LiFE. These creatives were posted on social media such as Twitter, Facebook, Linkedin, Instagram & Koo, which received huge response through likes, comments & shares."
253,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,BPCL has Sold 4649 number of High Performance domestic Cooking Stove through our distributors in the month of January-2023.
244,Energy Saved,Switch off vehicle engines at red lights and railway crossings,Banners were placed at 20 Retail Outlets under Coimbatore DO. Awarness camapign was conducted
551,Energy Saved,Use LED bulbs/ tube-lights,https://www.facebook.com/profile/100064593915988/search/?q=mission%20life
218,Energy Saved,Use LED bulbs/ tube-lights,"Banners were placed at 20 ROs under IOCL, Coimbatore DO. Awarness messages were spread among public to use LED bulbs."
274,Energy Saved,Use public transport wherever possible,"IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of â€œSave Energyâ€œ and â€œConserve Waterâ€ of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery (Refinery Main Gate, Centenary Park, Bihutali Auditorium, New Market Public Parking, Digboi Refinery Museum)"
217,Energy Saved,Use public transport wherever possible,Banners on usage of public transport were displayed in six Retail Outlets under IOCL Coimbatore DO to create awareness among public. Phamplets were distributed.
209,Energy Saved,Use bicycles for local or short commute,Banners were placed at prominent places 10 Retail Outlets in Coimbatore District for creating awareness among public for saving energy
195,Energy Saved,Use LED bulbs/ tube-lights,BPCL Retail Outlets (Northern Region) - January-2023.
